/etc/tejas/mem_watch_output.txt is not created so creating it. starting at Tue Feb 17 16:39:36 IST 2015
Memory Changes in every 5m interval
MemTotal: MemFree: Buffers: Cached: SwapCached: Active: Inactive: SwapTotal: SwapFree: Dirty: Writeback: AnonPages: Mapped: Slab: SReclaimable: SUnreclaim: PageTables: NFS_Unstable: Bounce: WritebackTmp: CommitLimit: Committed_AS: VmallocTotal: VmallocUsed: VmallocChunk: 
509144 17132 45068 338400 0 268440 164432 0 0 3704 0 49420 47732 51040 44212 6828 1412 0 0 0 254572 658300 768988 17460 751488 
509144 14916 45068 340512 0 270676 164436 0 0 8 0 49548 47776 51028 44212 6816 1412 0 0 0 254572 658848 768988 17460 751488 
509144 18652 45068 336800 0 266908 164440 0 0 172 0 49496 47776 51016 44212 6804 1412 0 0 0 254572 658592 768988 17460 751488 
509144 13048 45068 342520 0 272604 164444 0 0 5104 0 49476 47732 51036 44212 6824 1412 0 0 0 254572 658556 768988 17460 751488 
509144 17016 45072 338524 0 268552 164452 0 0 968 0 49424 47732 51048 44212 6836 1412 0 0 0 254572 658300 768988 17460 751488 
509144 21116 45072 336944 0 264312 164448 0 0 2024 0 46760 47500 51036 44216 6820 1412 0 0 0 254572 655444 768988 17460 751488 
509144 15536 45072 342528 0 269892 164452 0 0 1168 0 46760 47500 51040 44216 6824 1412 0 0 0 254572 655444 768988 17460 751488 
509144 17736 45072 338188 0 267788 164456 0 0 1284 0 49000 47728 51196 44216 6980 1412 0 0 0 254572 657908 768988 17460 751488 
509144 20992 45072 337064 0 263040 165840 0 0 1872 0 46760 47500 51032 44216 6816 1412 0 0 0 254572 655444 768988 17460 751488 
509144 17032 45072 341160 0 268512 164464 0 0 924 0 46760 47500 51016 44216 6800 1412 0 0 0 254572 655444 768988 17460 751488 
509144 20628 45096 337504 0 264048 165300 0 0 1764 0 46764 47500 51012 44212 6800 1412 0 0 0 254572 655444 768988 17460 751488 
509144 21116 45096 337068 0 264444 164468 0 0 1480 0 46764 47500 51040 44212 6828 1412 0 0 0 254572 655444 768988 17460 751488 
509144 17908 45096 340148 0 267520 164472 0 0 388 0 46764 47500 51012 44212 6800 1412 0 0 0 254572 655444 768988 17460 751488 
509144 17784 45096 337660 0 267776 164476 0 0 12 0 49512 47776 51020 44212 6808 1412 0 0 0 254572 658592 768988 17460 751488 
509144 20496 45096 337660 0 265032 164476 0 0 1304 0 46768 47500 51028 44212 6816 1412 0 0 0 254572 655444 768988 17460 751488 
509144 15420 45096 340008 0 269668 164968 0 0 1340 0 49548 47776 51020 44212 6808 1412 0 0 0 254572 658848 768988 17460 751488 
509144 19976 45096 336724 0 265508 164484 0 0 24 0 48188 47728 51176 44212 6964 1416 0 0 0 254572 657012 768988 17460 751488 
509144 16248 45096 339216 0 269240 164488 0 0 3168 0 49432 47728 51072 44212 6860 1412 0 0 0 254572 658164 768988 17460 751488 
509144 15412 45096 339944 0 270072 164492 0 0 448 0 49540 47776 51028 44212 6816 1412 0 0 0 254572 658592 768988 17460 751488 
509144 21892 45096 336208 0 263564 164492 0 0 292 0 46768 47500 50996 44212 6784 1412 0 0 0 254572 655444 768988 17460 751488 
509144 16820 45096 340748 0 268572 164496 0 0 5440 0 47240 47728 51236 44212 7024 1412 0 0 0 254572 656244 768988 17460 751488 
509144 16264 45096 339296 0 269264 164500 0 0 300 0 49388 47728 51044 44212 6832 1412 0 0 0 254572 658164 768988 17460 751488 
509144 21348 45096 335624 0 264100 164504 0 0 2888 0 47900 47728 51092 44216 6876 1412 0 0 0 254572 656756 768988 17460 751488 
509144 14528 45096 340988 0 271020 164512 0 0 1456 0 49464 47732 51052 44216 6836 1412 0 0 0 254572 658556 768988 17460 751488 
509144 16364 45096 339152 0 269160 164512 0 0 768 0 49440 47732 51076 44216 6860 1412 0 0 0 254572 658300 768988 17460 751488 
509144 21356 45096 336812 0 263788 164872 0 0 1204 0 46768 47500 51032 44212 6820 1412 0 0 0 254572 655444 768988 17460 751488 
509144 11932 45096 343400 0 273552 164516 0 0 784 0 49588 47776 51100 44268 6832 1412 0 0 0 254572 658848 768988 17460 751488 
509144 15916 45096 339456 0 269556 164524 0 0 416 0 49544 47776 51088 44268 6820 1412 0 0 0 254572 658592 768988 17460 751488 
509144 17636 45096 337900 0 267828 164528 0 0 724 0 49376 47728 51108 44268 6840 1412 0 0 0 254572 658164 768988 17460 751488 
509144 12816 45096 342604 0 272644 164528 0 0 92 0 49488 47732 51096 44268 6828 1412 0 0 0 254572 658556 768988 17460 751488 
509144 17016 45096 338456 0 268440 164532 0 0 1620 0 49436 47732 51100 44268 6832 1412 0 0 0 254572 658300 768988 17460 751488 
