Memory Changes in every five min. interval
MemTotal: MemFree: Buffers: Cached: SwapCached: Active: Inactive: SwapTotal: SwapFree: Dirty: Writeback: AnonPages: Mapped: Slab: SReclaimable: SUnreclaim: PageTables: NFS_Unstable: Bounce: WritebackTmp: CommitLimit: Committed_AS: VmallocTotal: VmallocUsed: VmallocChunk: 
509144 5752 39448 404112 0 75456 412012 0 0 16 0 43924 44220 8108 4576 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404120 0 75456 412020 0 0 0 0 43924 44220 8112 4576 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5752 39448 404120 0 75456 412020 0 0 8 0 43924 44220 8108 4576 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404124 0 75456 412024 0 0 16 0 43924 44220 8116 4576 3540 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5752 39448 404124 0 75456 412024 0 0 8 0 43924 44220 8116 4576 3540 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404128 0 75456 412028 0 0 4 0 43924 44220 8116 4576 3540 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5752 39448 404136 0 75456 412036 0 0 24 0 43924 44220 8108 4576 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404136 0 75456 412036 0 0 4 0 43924 44220 8108 4576 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5860 39448 404140 0 75456 412040 0 0 20 0 43924 44220 8128 4576 3552 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404140 0 75456 412040 0 0 4 0 43924 44220 8112 4576 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404144 0 75456 412044 0 0 8 0 43924 44220 8108 4576 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 6000 39448 403948 0 75456 411848 0 0 4 0 43924 44220 8112 4576 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 403952 0 75456 411852 0 0 20 0 43924 44220 8108 4576 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 403956 0 75456 411856 0 0 0 0 43924 44220 8112 4576 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 6000 39448 403956 0 75456 411856 0 0 8 0 43924 44220 8108 4576 3532 1192 0 0 0 254572 633304 768988 17460 751488 
